条码,商品名称,价格,库存,描述
MAC001,苹果MacBook Pro 13寸,12999.00,5,M2芯片 8GB+256GB 深空灰色
IPH001,iPhone 15 128GB,5999.00,10,蓝色 支持5G网络
IPA001,iPad Air 10.9寸,4599.00,8,Wi-Fi版 64GB 天蓝色
AIR001,AirPods Pro 第三代,1899.00,15,主动降噪 无线充电盒
WAT001,Apple Watch Series 9,2999.00,6,GPS版 45mm 午夜色铝金属
MOU001,Magic Mouse 妙控鼠标,649.00,20,白色 无线蓝牙
KEY001,Magic Keyboard 妙控键盘,999.00,12,中文布局 背光键盘
DIS001,Studio Display 显示器,11999.00,3,27英寸 5K Retina显示屏
ADP001,67W USB-C 电源适配器,299.00,25,快速充电 兼容多设备
iPhone 15 透明保护壳,199.00,30,官方透明硅胶保护壳
USB-C转Lightning数据线,299.00,20,1米长度 支持快充
Mac Studio 台式机,15999.00,2,M2 Max芯片 32GB+512GB
MacBook Air 13寸,9999.00,4,M2芯片 8GB+256GB 银色
iPad Pro 11寸,6799.00,6,M2芯片 128GB Wi-Fi版
Apple Pencil 第二代,999.00,15,支持iPad Pro/Air 磁力吸附
